Name,Address,Rating,Total Reviews,Latitude,Longitude,Phone Number,Opening Hours,Website,Business Status,Place ID
Barbeque Nation - Nashik - City Centre Mall,"2nd Floor, City Centre Mall Sambaji Chowk, Lawate Nagar Banyan Square, Untwadi Rd, Lavate Nager, Parijat Nagar, Nashik, Maharashtra 422009, India",4.3,5530,19.9907049,73.76094599999999,+91 80 6902 8738,"Monday: 12:00 – 3:45 PM, 6:30 – 10:45 PM, Tuesday: 12:00 – 3:45 PM, 6:30 – 10:45 PM, Wednesday: 12:00 – 3:45 PM, 6:30 – 10:45 PM, Thursday: 12:00 – 3:45 PM, 6:30 – 10:45 PM, Friday: 12:00 – 3:45 PM, 6:30 – 10:45 PM, Saturday: 12:00 – 3:45 PM, 6:30 – 10:45 PM, Sunday: 12:00 – 3:45 PM, 6:30 – 10:45 PM",https://www.barbequenation.com/restaurants/nashik/city-centre-mall?utm_source=GMB&utm_medium=nashik_city_centre_mall&utm_campaign=GMB_nashik_city_centre_mall,OPERATIONAL,ChIJHdvcknDr3TsR04tcpO-kdig
Red Chillys - Levels,"Trambakeshwar Rd, NICE Area, MIDC, Satpur Colony, Nashik, Maharashtra 422007, India",4.4,1120,19.993747,73.7495878,+91 98202 43088,"Monday: 11:00 AM – 1:00 AM, Tuesday: 11:00 AM – 1:00 AM, Wednesday: 11:00 AM – 1:00 AM, Thursday: 11:00 AM – 1:00 AM, Friday: 11:00 AM – 1:00 AM, Saturday: 11:00 AM – 1:00 AM, Sunday: 11:00 AM – 1:00 AM",https://www.facebook.com/levelsnashik,OPERATIONAL,ChIJJ9xHaFvr3TsRv0zUhwW-0a8
Spice Route,"2, Gangapur Rd, behind Union Bank, Navshya Ganapati Parisar, Ganpati Nagar, Anandvalli, Nashik, Maharashtra 422013, India",4.0,2264,20.0135455,73.74213449999999,+91 99229 92231,"Monday: 12:30 – 4:00 PM, 7:00 – 11:30 PM, Tuesday: 12:30 – 4:00 PM, 7:00 – 11:30 PM, Wednesday: 12:30 – 4:00 PM, 7:00 – 11:30 PM, Thursday: 12:30 – 4:00 PM, 7:00 – 11:30 PM, Friday: 12:30 – 4:00 PM, 7:00 – 11:30 PM, Saturday: 12:30 – 11:45 PM, Sunday: 12:30 – 11:45 PM",,OPERATIONAL,ChIJLacMrXbs3TsRUNcamdWp798
Tales & Spirits Bistro,"Plot No. 33, opposite Westside Store, off College Road, Yeolekar Mala, Nashik, Maharashtra 422007, India",4.3,3228,20.0014407,73.76267419999999,+91 70286 76777,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 12:00 PM – 12:30 AM, Sunday: 12:00 PM – 12:30 AM",https://www.talesnspirits.com/order/nashik,OPERATIONAL,ChIJ6V1Ovhjr3TsRX4XctjDXynY
Charlies Deck | Best Cafe In Nashik,"5th Floor, Vihar marina apt, above pohumal jwellers, beside Six Sigma Hospital, Samartha Nagar, Parijat Nagar, Nashik, Maharashtra 422007, India",4.2,288,20.0011572,73.7545835,+91 77759 55509,"Monday: 10:00 AM – 11:00 PM, Tuesday: 10:00 AM – 11:00 PM, Wednesday: 10:00 AM – 11:00 PM, Thursday: 10:00 AM – 11:00 PM, Friday: 10:00 AM – 11:00 PM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 11:00 PM",,OPERATIONAL,ChIJ4XSq6jDr3TsRnonAggNQ-eI
The Sidewalk Nashik,"BLVD, Ground Level, P20, Trimbak Road, Satpur MIDC, Next to Ginger Hotel, MIDC, Satpur Colony, Nashik, Maharashtra 422007, India",4.2,731,19.991515,73.7436876,+91 253 664 4000,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",http://www.blvdnashik.com/,OPERATIONAL,ChIJ42VUY4Hs3TsRx1uyV-oD03c
Dil Se Desi - Nashik,"Gangapur Rd, next to Canara Bank, Rameshwar Nagar, Balawant Nagar, Anandvalli, Nashik, Maharashtra 422005, India",4.1,1251,20.01290239999999,73.7426407,+91 99232 06360,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",,OPERATIONAL,ChIJ7WZBtKbt3TsRmKxqngoRyl8
Majhali Restaurant - College Road,"Majhali Fine-Dine Seafood Restaurant, College Rd, Kalpana Nagar, Nashik, Maharashtra 422005, India",4.3,1352,20.0067143,73.7574862,+91 253 231 7772,"Monday: 7:00 PM – 12:30 AM, Tuesday: 11:00 AM – 12:30 AM, Wednesday: 11:00 AM – 12:30 AM, Thursday: 11:00 AM – 12:30 AM, Friday: 11:00 AM – 12:30 AM, Saturday: 11:00 AM – 12:30 AM, Sunday: 11:00 AM – 12:30 AM",,OPERATIONAL,ChIJR2zoyu7r3TsRHdK-Bsg8hEw
Yahoo Hotel,"Yahoo hotel, Sharanpur Link Rd, near Tibetian Market, near Canada Corner, P&T Colony, Nashik, Maharashtra 422005, India",4.1,4170,19.9972378,73.76899279999999,+91 253 257 1748,"Monday: 11:00 AM – 11:30 PM, Tuesday: 11:00 AM – 11:30 PM, Wednesday: 11:00 AM – 11:30 PM, Thursday: 11:00 AM – 11:30 PM, Friday: 11:00 AM – 11:30 PM, Saturday: 11:00 AM – 11:30 PM, Sunday: 11:00 AM – 11:30 PM",,OPERATIONAL,ChIJBxrWD3Xr3TsRTLeTSD4ZdhM
Bon Vivant,"Patil Park, opposite to Dongre Vasti Gruha, Old Gangapur Naka, Patil Colony, Nashik, Maharashtra 422005, India",4.1,6922,20.0066439,73.7709296,+91 253 231 4460,"Monday: 11:00 AM – 11:30 PM, Tuesday: 11:00 AM – 11:30 PM, Wednesday: 11:00 AM – 11:30 PM, Thursday: 11:00 AM – 11:30 PM, Friday: 11:00 AM – 11:30 PM, Saturday: 11:00 AM – 11:30 PM, Sunday: 11:00 AM – 11:30 PM",,OPERATIONAL,ChIJNX1CAS80VxERzTmu4LS1qZs
Al Arabian Express ( College Road),"Pumping Station Rd, Vise Mala, Patil Colony, Ramdas Colony, Nashik, Maharashtra 422005, India",4.4,5585,20.0034762,73.7649411,+91 73503 42685,"Monday: 12:30 – 11:30 PM, Tuesday: 12:30 – 11:30 PM, Wednesday: Closed, Thursday: 12:30 – 11:30 PM, Friday: 12:30 – 11:30 PM, Saturday: 12:30 – 11:30 PM, Sunday: 12:30 – 11:30 PM",http://alarabianexpress.com/,OPERATIONAL,ChIJV8d4GZzr3TsRSSEcdNJUqfU
Barbeque Ville,"Karambelkar Tower, near Deccan Petrol Pump, Shanti Nagar, Lekha Nagar, Nashik, Maharashtra 422009, India",4.1,3373,19.9767746,73.7768019,+91 83800 45222,"Monday: 12:30 – 3:30 PM, 7:00 – 11:30 PM, Tuesday: 12:30 – 3:30 PM, 7:00 – 11:30 PM, Wednesday: 12:30 – 3:30 PM, 7:00 – 11:30 PM, Thursday: 12:30 – 3:30 PM, 7:00 – 11:30 PM, Friday: 12:30 – 3:30 PM, 7:00 – 11:30 PM, Saturday: 12:30 – 3:30 PM, 7:00 – 11:30 PM, Sunday: 12:30 – 3:30 PM, 7:00 – 11:30 PM",,OPERATIONAL,ChIJS9E3Aj7r3TsR2vkdVw8dP_8
Veg Aroma,"Gangapur Rd, Kale Nagar, Viveka Nand Nagar, Anandvalli, Nashik, Maharashtra 422005, India",4.0,6430,20.0120574,73.7461884,+91 83800 32373,"Monday: 10:30 AM – 11:30 PM, Tuesday: 10:30 AM – 11:30 PM, Wednesday: 10:00 AM – 11:30 PM, Thursday: 10:00 AM – 11:30 PM, Friday: 10:30 AM – 11:30 PM, Saturday: 10:30 AM – 11:30 PM, Sunday: 10:30 AM – 11:30 PM",,OPERATIONAL,ChIJm1_KS3bs3TsR7xKc998vIbE
Tomato's Nashik Restaurant & Bar,"Sr.No. 13/A, Besides, SK Open Mall, Shraddha Petrol Pump, College Rd, Ramdas Colony, Nashik, Maharashtra 422005, India",4.2,556,20.0049549,73.76335,+91 90907 49091,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 12:00 PM – 12:00 AM, Sunday: 12:00 PM – 12:00 AM",http://tomatos.co.in/,OPERATIONAL,ChIJTTnvKFjr3TsRn4ZaeZqHWww
Roof top kitchen & bar Nashik,"3rd floor, vijay chambers, cricket ground, opposite Mahatama Nagar, Mahatma Nagar, Parijat Nagar, Nashik, Maharashtra 422005, India",4.4,320,19.9970792,73.754325,+91 94222 73598,"Monday: 11:00 AM – 11:30 PM, Tuesday: 11:00 AM – 11:30 PM, Wednesday: 11:00 AM – 11:30 PM, Thursday: 11:00 AM – 11:30 PM, Friday: 11:00 AM – 11:30 PM, Saturday: 11:00 AM – 11:30 PM, Sunday: 11:00 AM – 11:30 PM",https://instagram.com/rooftopkitchenbar?igshid=YmMyMTA2M2Y=,OPERATIONAL,ChIJy15zGdrr3TsRqoz8fnU6kS4
The Smoked Vine,"Radisson Blu Hotel & Spa, Girdhar Nagar, Buddha Vihar, Pathardi Phata, Nashik, Maharashtra 422010, India",4.0,87,19.9466495,73.7563782,+91 253 664 4500,"Monday: 7:00 AM – 10:30 PM, Tuesday: 7:00 AM – 10:30 PM, Wednesday: 7:00 AM – 10:30 PM, Thursday: 7:00 AM – 10:30 PM, Friday: 7:00 AM – 10:30 PM, Saturday: 7:00 AM – 10:30 PM, Sunday: 7:00 AM – 10:30 PM",https://www.radissonhotels.com/en-us/hotels/radisson-blu-spa-nashik/restaurant-bar?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INMHISK1,OPERATIONAL,ChIJT3vtnJGV3TsRCgBAZ3PC2qo
Udupi Tadka Gokul Pure Veg Restaurant Nashik,"Opp. Manavata Curie Cancer Hospital, Shri Hari Narayan Kute Marg, Mumbai Naka, Renuka Nagar, Nashik, Maharashtra 422002, India",4.2,6233,19.9902982,73.78233,+91 94057 68388,"Monday: 8:20 AM – 11:00 PM, Tuesday: 8:20 AM – 11:00 PM, Wednesday: 8:20 AM – 11:00 PM, Thursday: 8:20 AM – 11:00 PM, Friday: 8:20 AM – 11:00 PM, Saturday: 8:20 AM – 11:00 PM, Sunday: 8:20 AM – 11:00 PM",,OPERATIONAL,ChIJf2eA7Q_r3TsRo2HPMvNYeZ8
Kaka Ka Dhaba,"Pragati Market, 8/9, National Highway, opposite Lekha Nagar, Lekha Nagar, Mumbai, Nashik, Maharashtra 422009, India",3.9,5310,19.9730453,73.77478359999999,,"Monday: 10:00 AM – 11:00 PM, Tuesday: 10:00 AM – 11:00 PM, Wednesday: 10:00 AM – 11:00 PM, Thursday: 10:00 AM – 11:00 PM, Friday: 10:00 AM – 11:00 PM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 11:00 PM",,OPERATIONAL,ChIJdTXoP3Hq3TsR5-QnDFcswCs
Mantra Fine Dine Restaurant & Bar,"3rd Floor, Bosco Center, Prasad Cir, Nashik, Maharashtra 422013, India",4.0,1734,20.0109165,73.760717,+91 86693 13135,"Monday: 11:30 AM – 12:00 AM, Tuesday: 11:30 AM – 12:00 AM, Wednesday: 11:30 AM – 12:00 AM, Thursday: 11:30 AM – 12:00 AM, Friday: 11:30 AM – 12:00 AM, Saturday: 11:30 AM – 12:00 AM, Sunday: 11:30 AM – 12:00 AM",http://bit.ly/contact_mantra,OPERATIONAL,ChIJzQYwRULr3TsRrWVFIJAmJsc
Divtya Budhlya Wada,"Gangapur Rd, next to Dura Gas Pump, Navshya Ganapati Parisar, Ganpati Nagar, Anandvalli, Nashik, Maharashtra 422013, India",3.8,6340,20.0125319,73.7466701,+91 95277 76999,"Monday: 12:00 – 4:00 PM, 7:00 – 11:00 PM, Tuesday: 12:00 – 4:00 PM, 7:00 – 11:00 PM, Wednesday: 12:00 – 4:00 PM, 7:00 – 11:00 PM, Thursday: 12:00 – 4:00 PM, 7:00 – 11:00 PM, Friday: 11:00 AM – 4:00 PM, 7:00 – 11:00 PM, Saturday: 11:00 AM – 4:00 PM, 7:00 – 11:00 PM, Sunday: 12:00 – 4:00 PM, 7:00 – 11:00 PM",http://divtyabudhlya.com/,OPERATIONAL,ChIJUQj_OXbs3TsRjWgS_ezrYSc
Panorama at BLVD Nashik,"Level 4, BLVD, Trambakeshwar Rd, MIDC, Satpur Colony, Nashik, Maharashtra 422007, India",4.1,560,19.9915959,73.7436711,+91 253 664 4000,"Monday: 7:00 – 11:30 PM, Tuesday: 7:00 – 11:30 PM, Wednesday: 7:00 – 11:30 PM, Thursday: 7:00 – 11:30 PM, Friday: 7:00 – 11:30 PM, Saturday: 7:00 – 11:30 PM, Sunday: 7:00 – 11:30 PM",http://www.blvdnashik.com/,OPERATIONAL,ChIJ___Tunbr3TsR1jc0et1o5ug
ASIAN WOK & GRILL | Multi Cuisine Restaurant in nashik | Asian Food | Chinese Food | Thai Food,"Shop no 1, Rushiraj Riviera, ahead of Jihan Circle, Gangapur Rd, Architects Colony, Ashtavinayak Colony, Anandvalli, shiver, Nashik, Maharashtra 422013, India",4.4,1430,20.0123797,73.7520928,+91 72698 99999,"Monday: 11:00 AM – 11:30 PM, Tuesday: 11:00 AM – 11:30 PM, Wednesday: 11:00 AM – 11:30 PM, Thursday: 11:00 AM – 11:30 PM, Friday: 11:00 AM – 11:30 PM, Saturday: 11:00 AM – 11:30 PM, Sunday: 11:00 AM – 11:30 PM",,OPERATIONAL,ChIJ7w-nnN_r3TsR6TFZmGN_Vz0
Udupi tadka High Gardens Pure Veg restaurant,"Ashoka Marg, Siddhivinayak Park, Kalpataru Nagar, Nashik, Maharashtra 422214, India",4.4,1997,19.98014999999999,73.8025912,+91 89560 36924,"Monday: 8:00 AM – 11:00 PM, Tuesday: 8:00 AM – 11:00 PM, Wednesday: 8:00 AM – 11:00 PM, Thursday: 8:00 AM – 11:00 PM, Friday: 8:00 AM – 11:00 PM, Saturday: 8:00 AM – 11:00 PM, Sunday: 8:00 AM – 11:00 PM",,OPERATIONAL,ChIJCfriAdzr3TsRv-1JVL94GeI
Surbhi Pure Veg Family Restaurant,"The Presidency, Old Agra Rd, near Kalika Mandir, Gadkari Chowk, Renuka Nagar, Nashik, Maharashtra 422001, India",3.9,1181,19.9928601,73.782562,+91 253 405 1860,"Monday: 8:00 AM – 11:00 PM, Tuesday: 8:00 AM – 11:00 PM, Wednesday: 8:00 AM – 11:00 PM, Thursday: 8:00 AM – 11:00 PM, Friday: 8:00 AM – 11:00 PM, Saturday: 8:00 AM – 11:00 PM, Sunday: 8:00 AM – 11:00 PM",,OPERATIONAL,ChIJS-fyOgHr3TsR_9q3G8kJyh4
Hari Om Dhaba by Bunty Luthra | Best Pure Veg Restaurant in Nasik | Best North Indian Food,"Kamod Nagar, Indira Nagar, Nashik, Maharashtra 422009, India",3.7,3542,19.97484649999999,73.7762685,,"Monday: 7:00 AM – 11:30 PM, Tuesday: 7:00 AM – 11:30 PM, Wednesday: 7:00 AM – 11:30 PM, Thursday: 7:00 AM – 11:30 PM, Friday: 7:00 AM – 11:30 PM, Saturday: 7:00 AM – 11:30 PM, Sunday: 7:00 AM – 11:30 PM",,OPERATIONAL,ChIJFTn-bj7r3TsRSy_SP-5mBfM
Vaidehi Pure Veg Family Restaurant,"Tilak Wadi Rd, Tilak Wadi, Jejurkar Wadi, Sharanpur, Nashik, Maharashtra 422002, India",4.1,910,19.9985959,73.7759416,+91 95956 05082,"Monday: 8:00 AM – 11:00 PM, Tuesday: 8:00 AM – 11:00 PM, Wednesday: 8:00 AM – 11:00 PM, Thursday: 8:00 AM – 11:00 PM, Friday: 8:00 AM – 11:00 PM, Saturday: 8:00 AM – 11:00 PM, Sunday: 8:00 AM – 11:00 PM",https://www.facebook.com/vaidehipurevegfamilyrestaurant,OPERATIONAL,ChIJ35SdFQrr3TsRjgirCfXy1PY
OriGin Nashik,"Gangapur Road 5,6 7 Floor, KK Plaza, Serene Meadows, Anandvalli, Nashik, Maharashtra 422013, India",4.2,2931,20.0143918,73.7376998,+91 93564 12002,"Monday: 11:00 AM – 11:30 PM, Tuesday: 11:00 AM – 11:30 PM, Wednesday: 11:00 AM – 11:30 PM, Thursday: 11:00 AM – 11:30 PM, Friday: 11:00 AM – 11:30 PM, Saturday: 11:00 AM – 11:30 PM, Sunday: 11:00 AM – 11:30 PM",http://gnbhospitality.in/,OPERATIONAL,ChIJuarhLZLt3TsR89YUS9Xcx3I
Hotel Radhakrishna,"Plot No. P-32, 1, Trambakeshwar Rd, behind ITI, MIDC, Satpur Colony, Nashik, Maharashtra 422007, India",4.0,3176,19.9902723,73.7462672,+91 253 235 1380,"Monday: 11:30 AM – 4:00 PM, 6:30 – 11:00 PM, Tuesday: 11:30 AM – 4:00 PM, 6:30 – 11:00 PM, Wednesday: 11:30 AM – 4:00 PM, 6:30 – 11:00 PM, Thursday: 11:30 AM – 4:00 PM, 6:30 – 11:00 PM, Friday: 11:30 AM – 4:00 PM, 6:30 – 11:00 PM, Saturday: 11:30 AM – 11:00 PM, Sunday: 11:30 AM – 11:00 PM",http://www.hotelradhakrishnanashik.com/,OPERATIONAL,ChIJ5WxLPoLs3TsR7AzV5mOsQbE
Swadyog Thali Restaurant & Banquet Hall,"Shop no.1, Rushiraj Regency Vidya Vikas Circle, Gangapur Rd, Patil Colony, Nashik, Maharashtra 422005, India",3.9,296,20.0093135,73.76601889999999,+91 77700 90199,"Monday: 11:00 AM – 4:00 PM, 7:00 – 11:00 PM, Tuesday: 11:00 AM – 4:00 PM, 7:00 – 11:00 PM, Wednesday: 11:00 AM – 4:00 PM, 7:00 – 11:00 PM, Thursday: 11:00 AM – 4:00 PM, 7:00 – 11:00 PM, Friday: 11:00 AM – 4:00 PM, 7:00 – 11:00 PM, Saturday: 11:00 AM – 4:00 PM, 7:00 – 11:00 PM, Sunday: 11:00 AM – 4:00 PM, 7:00 – 11:00 PM",,OPERATIONAL,ChIJi1gy6DPr3TsROkkK3-exP9I
Hotel Gandharv Pure Veg Restaurant (best pure veg restaurant in nashik),"4, BELLAVISTA APARTMENT, BHUJBAL FARM, Mumbai - Agra Rd, Sadguru Nagar, Mumbai, Nashik, Maharashtra 422009, India",4.6,196,19.97820309999999,73.7780233,,"Monday: 9:30 AM – 4:30 PM, 6:30 – 11:55 PM, Tuesday: 9:30 AM – 4:30 PM, 6:30 – 11:55 PM, Wednesday: 9:30 AM – 4:30 PM, 6:30 – 11:55 PM, Thursday: 9:30 AM – 4:30 PM, 6:30 – 11:55 PM, Friday: 9:30 AM – 4:30 PM, 6:30 – 11:55 PM, Saturday: 9:30 AM – 4:30 PM, 6:30 – 11:55 PM, Sunday: 9:30 AM – 4:30 PM, 6:30 – 11:55 PM",,OPERATIONAL,ChIJ_Q6m7Gnr3TsRXOQdh1Mifzs
The Machan's Nature's Bliss | Veg / Non-Veg Restaurant in Nashik | Famous restaurants in Nashik,"Right Canal Rd, near Motiwala College, Hanuman Nagar, Jalapur, Nashik, Maharashtra 422013, India",4.0,250,20.0179633,73.7196529,+91 78210 04239,"Monday: Closed, Tuesday: 3:00 – 11:00 PM, Wednesday: 3:00 – 11:00 PM, Thursday: 3:00 – 11:00 PM, Friday: 3:00 – 11:00 PM, Saturday: 3:00 – 11:00 PM, Sunday: 3:00 – 11:00 PM",,OPERATIONAL,ChIJLavrxdjt3TsRL5rL3NTfTvM
The Cobble Street (TCS),"Gangapur-Savargaon Rd, Nashik, Sawargaon, Maharashtra 422222, India",4.2,2695,20.014099,73.7003063,+91 83809 98099,"Monday: 11:30 AM – 12:00 AM, Tuesday: 11:30 AM – 12:00 AM, Wednesday: 11:30 AM – 12:00 AM, Thursday: 11:30 AM – 12:00 AM, Friday: 11:30 AM – 12:00 AM, Saturday: 11:30 AM – 12:00 AM, Sunday: 11:30 AM – 12:00 AM",,OPERATIONAL,ChIJy9iUMbXt3TsRnI2r2cKLDvA
Crossroads,"Opp Nasik Club, XRM2+WW6, Pune Rd, Ganesh Baba Nagar, Nashik, Maharashtra 422214, India",4.0,235,19.9847903,73.80226549999999,,"Monday: 12:00 – 11:00 AM, 12:00 PM – 12:00 AM, Tuesday: 12:00 – 11:00 AM, 12:00 PM – 12:00 AM, Wednesday: 12:00 – 11:00 AM, 12:00 PM – 12:00 AM, Thursday: 12:00 – 11:00 AM, 12:00 PM – 12:00 AM, Friday: 12:00 – 11:00 AM, 12:00 PM – 12:00 AM, Saturday: 12:00 – 11:00 AM, 12:00 PM – 12:00 AM, Sunday: 12:00 – 11:00 AM, 12:00 PM – 12:00 AM",,OPERATIONAL,ChIJj1654rrr3TsRfDN_vDHQKrw
Bakes & Brews,"Ground Level, Courtyard by Marriott Nashik, Mumbai - Agra Rd, near Mumbai Naka, Renuka Nagar, Nashik, Maharashtra 422001, India",4.7,23,19.9903966,73.7893903,+91 91455 55851,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://www.marriott.com/hotels/hotel-information/restaurant/iskcn-courtyard-nashik/,OPERATIONAL,ChIJN7DR7VDr3TsRCl6umd2dVXw
